Location,ParentLocation,PM25_Value,Average_PM25
Malawi,Africa,18.1,29.812282051282054
Mozambique,Africa,18.25,29.812282051282054
Malawi,Africa,18.42,29.812282051282054
Malawi,Africa,18.48,29.812282051282054
Lesotho,Africa,18.77,29.812282051282054
Zambia,Africa,18.92,29.812282051282054
South Africa,Africa,19.38,29.812282051282054
Zambia,Africa,19.51,29.812282051282054
Malawi,Africa,20.07,29.812282051282054
Madagascar,Africa,20.51,29.812282051282054
Malawi,Africa,20.72,29.812282051282054
Lesotho,Africa,20.76,29.812282051282054
South Africa,Africa,21.26,29.812282051282054
Ethiopia,Africa,21.35,29.812282051282054
South Sudan,Africa,21.54,29.812282051282054
South Sudan,Africa,21.64,29.812282051282054
South Sudan,Africa,22.06,29.812282051282054
Ethiopia,Africa,22.23,29.812282051282054
Gabon,Africa,22.4,29.812282051282054
Algeria,Africa,22.45,29.812282051282054
Congo,Africa,22.45,29.812282051282054
Angola,Africa,22.59,29.812282051282054
Ethiopia,Africa,22.6,29.812282051282054
South Sudan,Africa,23.14,29.812282051282054
South Africa,Africa,23.25,29.812282051282054
Algeria,Africa,23.26,29.812282051282054
Ethiopia,Africa,23.3,29.812282051282054
Algeria,Africa,23.33,29.812282051282054
Eritrea,Africa,23.34,29.812282051282054
Algeria,Africa,23.37,29.812282051282054
Eritrea,Africa,23.56,29.812282051282054
Ethiopia,Africa,23.85,29.812282051282054
South Sudan,Africa,23.9,29.812282051282054
Algeria,Africa,24.13,29.812282051282054
Eritrea,Africa,24.25,29.812282051282054
Eritrea,Africa,24.63,29.812282051282054
Eritrea,Africa,25.11,29.812282051282054
Angola,Africa,25.44,29.812282051282054
Gabon,Africa,25.9,29.812282051282054
Burundi,Africa,26.03,29.812282051282054
Equatorial Guinea,Africa,26.29,29.812282051282054
Central African Republic,Africa,26.4,29.812282051282054
Equatorial Guinea,Africa,26.62,29.812282051282054
Angola,Africa,26.67,29.812282051282054
Burundi,Africa,27.63,29.812282051282054
Burundi,Africa,27.64,29.812282051282054
Central African Republic,Africa,27.71,29.812282051282054
Equatorial Guinea,Africa,27.9,29.812282051282054
Central African Republic,Africa,27.94,29.812282051282054
Burundi,Africa,28.0,29.812282051282054
